 ;F;M;U;inhumation;cremation;EWWE;WE;EW;NS;NWSE;SWNE;SN;SENW;XX
G1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
G2;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G3;1;1;0;1;0;1;0;0;0;0;0;0;0;0
G4;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G5;0;0;1;1;0;0;1;0;0;0;0;0;0;0
G6;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G7;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G8;0;0;1;1;0;0;0;1;0;0;0;0;0;0
G9;1;0;0;1;0;0;0;0;1;0;0;0;0;0
G10;0;1;0;0;1;0;0;0;0;0;0;0;0;1
G11;0;0;1;0;0;0;1;0;0;0;0;0;0;0
G12;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G13;1;0;0;1;0;0;0;1;0;0;0;0;0;0
G14;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G15;1;0;0;1;0;0;0;0;0;1;0;0;0;0
G16;1;0;0;1;0;0;0;0;0;0;1;0;0;0
G17;0;1;0;1;0;0;0;0;0;1;0;0;0;0
G18;0;1;0;1;0;0;0;0;0;1;0;0;0;0
G19;1;0;0;1;0;0;0;0;0;0;0;0;0;1
G20;0;0;1;1;0;0;0;0;0;0;0;0;1;0
G21-22 ;1;0;0;1;0;0;0;1;0;0;0;0;0;0
G23;0;0;1;1;0;0;1;0;0;0;0;0;0;0
G24;1;0;0;0;1;0;0;1;0;0;0;0;0;0
G25;1;0;0;1;0;0;0;0;0;1;0;0;0;0
G26;0;1;0;1;0;0;0;0;0;0;1;0;0;0
G27;1;0;0;1;0;0;0;0;0;1;0;0;0;0
G28;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G29;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G30;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G31;0;1;0;1;0;0;0;0;0;1;0;0;0;0
G32;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G33;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G34;1;0;0;0;1;0;0;0;0;0;0;0;0;1
G35-36;1;1;0;1;0;0;1;0;0;0;0;0;0;0
G37;1;0;0;1;0;0;0;0;0;0;0;0;0;1
G38;1;0;0;1;0;0;0;0;0;0;0;1;0;0
G39;1;0;0;1;0;0;0;0;0;0;0;0;0;1
G40;1;0;1;1;1;0;0;0;0;0;0;0;0;1
G41;1;0;0;1;0;0;0;0;0;0;0;0;0;1
G42;1;1;0;1;1;0;0;0;0;0;0;1;0;0
G43;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G44;1;0;0;0;1;1;0;0;0;0;0;0;0;0
G45;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G46;1;0;0;0;1;0;0;0;0;0;0;0;0;1
G47;0;1;0;1;0;0;0;1;0;0;0;0;0;0
G49;0;1;0;1;0;0;0;0;0;0;0;1;0;0
G50;0;1;0;1;0;0;0;1;0;0;0;0;0;0
G53;0;1;0;1;0;0;0;0;0;0;0;0;0;1
G54;0;0;1;0;0;0;0;0;0;0;0;0;0;1
G55;0;1;0;0;1;0;0;0;0;0;0;0;0;1
G56;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G57;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G59;1;0;0;1;0;0;0;0;0;0;0;0;0;1
G62;0;1;0;1;0;0;0;0;0;0;0;1;0;0
G63;0;1;0;1;0;0;1;0;0;0;0;0;0;0
G64;1;0;0;1;0;0;1;0;0;0;0;0;0;0
G65;1;0;0;1;0;0;0;1;0;0;0;0;0;0
G66;0;0;1;0;1;0;0;0;0;0;0;0;0;1
G67;1;0;0;1;1;0;0;0;0;0;0;0;0;1
G68;0;0;1;0;1;0;0;0;0;0;0;0;0;1
G69;0;0;1;0;0;1;0;0;0;0;0;0;0;0
G70;0;1;0;1;0;0;0;0;0;0;0;0;0;1
G71;0;1;0;1;0;0;0;0;0;0;0;0;0;1
G72;0;1;0;1;0;0;0;0;0;0;0;0;0;1
